wave	flux	eflux
3.31743823e+03	4.37283700e-14	4.37283700e-15
3.31804918e+03	4.42742600e-14	4.42742600e-15
3.31866013e+03	4.42943900e-14	4.42943900e-15
3.31927108e+03	4.36638800e-14	4.36638800e-15
3.31988204e+03	4.04922000e-14	4.04922000e-15
3.32049299e+03	4.35031700e-14	4.35031700e-15
3.32110394e+03	4.27235900e-14	4.27235900e-15
3.32171489e+03	4.19264500e-14	4.19264500e-15
3.32232584e+03	4.43685600e-14	4.43685600e-15
3.32293679e+03	4.44324700e-14	4.44324700e-15
3.32354774e+03	4.45359500e-14	4.45359500e-15
3.32415869e+03	4.28973500e-14	4.28973500e-15
3.32476964e+03	4.12648800e-14	4.12648800e-15
3.32538059e+03	4.38789200e-14	4.38789200e-15
3.32599154e+03	4.51866000e-14	4.51866000e-15
3.32660249e+03	4.49477300e-14	4.49477300e-15
3.32721344e+03	4.39012100e-14	4.39012100e-15
3.32782440e+03	4.31976000e-14	4.31976000e-15
3.32843535e+03	4.42159600e-14	4.42159600e-15
3.32904630e+03	4.47417300e-14	4.47417300e-15
3.32965725e+03	4.43774700e-14	4.43774700e-15
3.33026820e+03	4.47263100e-14	4.47263100e-15
3.33087915e+03	4.44773800e-14	4.44773800e-15
3.33149010e+03	4.34323100e-14	4.34323100e-15
3.33210105e+03	4.36116300e-14	4.36116300e-15
3.33271200e+03	4.59377700e-14	4.59377700e-15
3.33332295e+03	4.49758800e-14	4.49758800e-15
3.33393390e+03	4.50164700e-14	4.50164700e-15
3.33454485e+03	4.53632900e-14	4.53632900e-15
3.33515581e+03	4.42326200e-14	4.42326200e-15
3.33576676e+03	4.37690100e-14	4.37690100e-15
3.33637771e+03	4.46981200e-14	4.46981200e-15
3.33698866e+03	4.60733600e-14	4.60733600e-15
3.33759961e+03	4.59771300e-14	4.59771300e-15
3.33821056e+03	4.49978000e-14	4.49978000e-15
3.33882151e+03	4.52121600e-14	4.52121600e-15
3.33943246e+03	4.56523400e-14	4.56523400e-15
3.34004341e+03	4.47585000e-14	4.47585000e-15
3.34065436e+03	4.49891200e-14	4.49891200e-15
3.34126531e+03	4.42276600e-14	4.42276600e-15
3.34187626e+03	4.49128500e-14	4.49128500e-15
3.34248722e+03	4.62421700e-14	4.62421700e-15
3.34309817e+03	4.59542500e-14	4.59542500e-15
3.34370912e+03	4.65339800e-14	4.65339800e-15
3.34432007e+03	4.42013200e-14	4.42013200e-15
3.34493102e+03	4.44346200e-14	4.44346200e-15
3.34554197e+03	4.60873200e-14	4.60873200e-15
3.34615292e+03	4.64469400e-14	4.64469400e-15
3.34676387e+03	4.54324800e-14	4.54324800e-15
3.34737482e+03	4.50581400e-14	4.50581400e-15
3.34798577e+03	4.36939400e-14	4.36939400e-15
3.34859672e+03	4.49640100e-14	4.49640100e-15
3.34920767e+03	4.64419600e-14	4.64419600e-15
3.34981862e+03	4.58833800e-14	4.58833800e-15
3.35042958e+03	4.69085300e-14	4.69085300e-15
3.35104053e+03	4.60652500e-14	4.60652500e-15
3.35165148e+03	4.68573200e-14	4.68573200e-15
3.35226243e+03	4.62400500e-14	4.62400500e-15
3.35287338e+03	4.45572200e-14	4.45572200e-15
3.35348433e+03	4.62389000e-14	4.62389000e-15
3.35409528e+03	4.56269100e-14	4.56269100e-15
3.35470623e+03	4.89986800e-14	4.89986800e-15
3.35531718e+03	4.64345000e-14	4.64345000e-15
3.35592813e+03	4.57613200e-14	4.57613200e-15
3.35653908e+03	4.67183400e-14	4.67183400e-15
3.35715003e+03	4.75701900e-14	4.75701900e-15
3.35776099e+03	4.68541700e-14	4.68541700e-15
3.35837194e+03	4.63763800e-14	4.63763800e-15
3.35898289e+03	4.58883800e-14	4.58883800e-15
3.35959384e+03	4.68663400e-14	4.68663400e-15
3.36020479e+03	4.55843500e-14	4.55843500e-15
3.36081574e+03	4.66755700e-14	4.66755700e-15
3.36142669e+03	4.73886600e-14	4.73886600e-15
3.36203764e+03	4.64786200e-14	4.64786200e-15
3.36264859e+03	4.69623800e-14	4.69623800e-15
3.36325954e+03	4.88291100e-14	4.88291100e-15
3.36387049e+03	4.61188300e-14	4.61188300e-15
3.36448144e+03	4.50259500e-14	4.50259500e-15
3.36509240e+03	4.67534500e-14	4.67534500e-15
3.36570335e+03	4.66404200e-14	4.66404200e-15
3.36631430e+03	4.65722100e-14	4.65722100e-15
3.36692525e+03	4.69915500e-14	4.69915500e-15
3.36753620e+03	4.57084400e-14	4.57084400e-15
3.36814715e+03	4.51736500e-14	4.51736500e-15
3.36875810e+03	4.65387200e-14	4.65387200e-15
3.36936905e+03	4.83502100e-14	4.83502100e-15
3.36998000e+03	4.71692900e-14	4.71692900e-15
3.37059095e+03	4.63002600e-14	4.63002600e-15
3.37120190e+03	4.68216300e-14	4.68216300e-15
3.37181285e+03	4.71584900e-14	4.71584900e-15
3.37242381e+03	4.69773800e-14	4.69773800e-15
3.37303476e+03	4.76483200e-14	4.76483200e-15
3.37364571e+03	4.63990900e-14	4.63990900e-15
3.37425666e+03	4.74614100e-14	4.74614100e-15
3.37486761e+03	4.83410300e-14	4.83410300e-15
3.37547856e+03	4.72045100e-14	4.72045100e-15
3.37608951e+03	4.77583500e-14	4.77583500e-15
3.37670046e+03	4.76208300e-14	4.76208300e-15
3.37731141e+03	4.60728200e-14	4.60728200e-15
3.37792236e+03	4.73785300e-14	4.73785300e-15
3.37853331e+03	4.96478400e-14	4.96478400e-15
3.37914426e+03	4.85571600e-14	4.85571600e-15
3.37975521e+03	4.81352400e-14	4.81352400e-15
3.38036617e+03	4.77215800e-14	4.77215800e-15
3.38097712e+03	4.86259300e-14	4.86259300e-15
3.38158807e+03	4.84747700e-14	4.84747700e-15
3.38219902e+03	4.89661500e-14	4.89661500e-15
3.38280997e+03	5.00541600e-14	5.00541600e-15
3.38342092e+03	4.91587700e-14	4.91587700e-15
3.38403187e+03	4.85265300e-14	4.85265300e-15
3.38464282e+03	4.80004900e-14	4.80004900e-15
3.38525377e+03	4.81623100e-14	4.81623100e-15
3.38586472e+03	4.86778500e-14	4.86778500e-15
3.38647567e+03	4.90951400e-14	4.90951400e-15
3.38708662e+03	4.90982000e-14	4.90982000e-15
3.38769758e+03	4.95217500e-14	4.95217500e-15
3.38830853e+03	4.98196900e-14	4.98196900e-15
3.38891948e+03	5.05015800e-14	5.05015800e-15
3.38953043e+03	4.85527900e-14	4.85527900e-15
3.39014138e+03	4.85473800e-14	4.85473800e-15
3.39075233e+03	4.92031800e-14	4.92031800e-15
3.39136328e+03	4.91418900e-14	4.91418900e-15
3.39197423e+03	4.96327500e-14	4.96327500e-15
3.39258518e+03	4.96683800e-14	4.96683800e-15
3.39319613e+03	4.89346700e-14	4.89346700e-15
3.39380708e+03	4.93648000e-14	4.93648000e-15
3.39441803e+03	5.00543000e-14	5.00543000e-15
3.39502899e+03	5.04530500e-14	5.04530500e-15
3.39563994e+03	5.13444100e-14	5.13444100e-15
3.39625089e+03	4.90545300e-14	4.90545300e-15
3.39686184e+03	4.81467900e-14	4.81467900e-15
3.39747279e+03	4.73785600e-14	4.73785600e-15
3.39808374e+03	4.87794500e-14	4.87794500e-15
3.39869469e+03	4.95020600e-14	4.95020600e-15
3.39930564e+03	4.92070500e-14	4.92070500e-15
3.39991659e+03	5.10763700e-14	5.10763700e-15
3.40052754e+03	4.98423500e-14	4.98423500e-15
3.40113849e+03	4.86917800e-14	4.86917800e-15
3.40174944e+03	4.85491400e-14	4.85491400e-15
3.40236040e+03	4.80450900e-14	4.80450900e-15
3.40297135e+03	4.77399300e-14	4.77399300e-15
3.40358230e+03	4.80345600e-14	4.80345600e-15
3.40419325e+03	4.88333700e-14	4.88333700e-15
3.40480420e+03	4.87299600e-14	4.87299600e-15
3.40541515e+03	4.78551800e-14	4.78551800e-15
3.40602610e+03	4.79272100e-14	4.79272100e-15
3.40663705e+03	4.97608600e-14	4.97608600e-15
3.40724800e+03	4.76553100e-14	4.76553100e-15
3.40785895e+03	4.75042500e-14	4.75042500e-15
3.40846990e+03	4.96777700e-14	4.96777700e-15
3.40908085e+03	5.09651000e-14	5.09651000e-15
3.40969180e+03	4.84403900e-14	4.84403900e-15
3.41030276e+03	4.91006600e-14	4.91006600e-15
3.41091371e+03	4.91080800e-14	4.91080800e-15
3.41152466e+03	4.79216900e-14	4.79216900e-15
3.41213561e+03	4.65925000e-14	4.65925000e-15
3.41274656e+03	4.91960400e-14	4.91960400e-15
3.41335751e+03	4.88120900e-14	4.88120900e-15
3.41396846e+03	4.72034900e-14	4.72034900e-15
3.41457941e+03	4.68739400e-14	4.68739400e-15
3.41519036e+03	4.82114200e-14	4.82114200e-15
3.41580131e+03	4.79180800e-14	4.79180800e-15
3.41641226e+03	4.74859000e-14	4.74859000e-15
3.41702321e+03	4.90274300e-14	4.90274300e-15
3.41763417e+03	4.92635000e-14	4.92635000e-15
3.41824512e+03	4.86137400e-14	4.86137400e-15
3.41885607e+03	4.82723300e-14	4.82723300e-15
