wave	flux	eflux
3.51898285e+03	1.39103700e-15	1.39103700e-16
3.51958380e+03	1.44286500e-15	1.44286500e-16
3.52018474e+03	1.60410800e-15	1.60410800e-16
3.52078569e+03	1.23387600e-15	1.23387600e-16
3.52138664e+03	9.47986500e-16	9.47986500e-17
3.52198759e+03	1.14627100e-15	1.14627100e-16
3.52258853e+03	9.33510100e-16	9.33510100e-17
3.52318948e+03	1.10163000e-15	1.10163000e-16
3.52379043e+03	1.11118700e-15	1.11118700e-16
3.52439137e+03	1.36573200e-15	1.36573200e-16
3.52499232e+03	1.18149800e-15	1.18149800e-16
3.52559327e+03	1.33481500e-15	1.33481500e-16
3.52619422e+03	1.41575000e-15	1.41575000e-16
3.52679516e+03	1.40590800e-15	1.40590800e-16
3.52739611e+03	1.41440000e-15	1.41440000e-16
3.52799706e+03	1.10982100e-15	1.10982100e-16
3.52859800e+03	1.21339000e-15	1.21339000e-16
3.52919895e+03	1.10537100e-15	1.10537100e-16
3.52979990e+03	1.20895300e-15	1.20895300e-16
3.53040085e+03	1.56262800e-15	1.56262800e-16
3.53100179e+03	1.12170100e-15	1.12170100e-16
3.53160274e+03	1.27987900e-15	1.27987900e-16
3.53220369e+03	1.31843600e-15	1.31843600e-16
3.53280463e+03	1.33021700e-15	1.33021700e-16
3.53340558e+03	1.20259200e-15	1.20259200e-16
3.53400653e+03	1.37706400e-15	1.37706400e-16
3.53460747e+03	1.22175400e-15	1.22175400e-16
3.53520842e+03	1.39377700e-15	1.39377700e-16
3.53580937e+03	1.36901000e-15	1.36901000e-16
3.53641032e+03	1.33565100e-15	1.33565100e-16
3.53701126e+03	8.17741500e-16	8.17741500e-17
3.53761221e+03	1.21821600e-15	1.21821600e-16
3.53821316e+03	1.30857700e-15	1.30857700e-16
3.53881410e+03	1.42224600e-15	1.42224600e-16
3.53941505e+03	1.22491700e-15	1.22491700e-16
3.54001600e+03	1.31603500e-15	1.31603500e-16
3.54061695e+03	1.32736700e-15	1.32736700e-16
3.54121789e+03	1.44040800e-15	1.44040800e-16
3.54181884e+03	1.40241600e-15	1.40241600e-16
3.54241979e+03	1.31690400e-15	1.31690400e-16
3.54302073e+03	1.11562700e-15	1.11562700e-16
3.54362168e+03	1.41140700e-15	1.41140700e-16
3.54422263e+03	9.91594000e-16	9.91594000e-17
3.54482358e+03	8.96197600e-16	8.96197600e-17
3.54542452e+03	9.77774900e-16	9.77774900e-17
3.54602547e+03	1.27806400e-15	1.27806400e-16
3.54662642e+03	9.92208600e-16	9.92208600e-17
3.54722736e+03	1.11572600e-15	1.11572600e-16
3.54782831e+03	1.09715900e-15	1.09715900e-16
3.54842926e+03	1.25981500e-15	1.25981500e-16
3.54903020e+03	1.65406800e-15	1.65406800e-16
3.54963115e+03	1.27569300e-15	1.27569300e-16
3.55023210e+03	1.27811900e-15	1.27811900e-16
3.55083305e+03	9.78162600e-16	9.78162600e-17
3.55143399e+03	1.13115600e-15	1.13115600e-16
3.55203494e+03	1.12556100e-15	1.12556100e-16
3.55263589e+03	1.04105800e-15	1.04105800e-16
3.55323683e+03	1.08776800e-15	1.08776800e-16
3.55383778e+03	9.30907400e-16	9.30907400e-17
3.55443873e+03	1.04789000e-15	1.04789000e-16
3.55503968e+03	1.39932600e-15	1.39932600e-16
3.55564062e+03	1.33570800e-15	1.33570800e-16
3.55624157e+03	1.18766900e-15	1.18766900e-16
3.55684252e+03	1.09514600e-15	1.09514600e-16
3.55744346e+03	9.98783000e-16	9.98783000e-17
3.55804441e+03	1.01048700e-15	1.01048700e-16
3.55864536e+03	1.04862800e-15	1.04862800e-16
3.55924631e+03	1.23756300e-15	1.23756300e-16
3.55984725e+03	1.26616600e-15	1.26616600e-16
3.56044820e+03	1.17512600e-15	1.17512600e-16
